%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
2561.15,3782.9,TM,1310,TMBraggTest,TMBraggTest_58_356,L-600um-width-345nm-corr-80nm
1523.05,287.35,TM,1550,TMBraggTest,TMBraggTest_77_399,L-600um-width-416nm-corr-180nm
1448.05,287.35,TM,1550,TMBraggTest,TMBraggTest_76_400,L-600um-width-416nm-corr-150nm
1566.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_20_401,L-100um-width-456nm-corr-150nm
1491.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_19_402,L-100um-width-456nm-corr-110nm
1526.25,728.4,TM,1550,TMBraggTest,TMBraggTest_92_404,L-900um-width-416nm-corr-0nm
1451.25,728.4,TM,1550,TMBraggTest,TMBraggTest_91_405,L-900um-width-436nm-corr-180nm
1598.05,287.35,TM,1550,TMBraggTest,TMBraggTest_78_406,L-600um-width-456nm-corr-0nm
427.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_6_407,L-100um-width-436nm-corr-150nm
352.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_5_408,L-100um-width-436nm-corr-110nm
277.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_4_409,L-100um-width-436nm-corr-80nm
202.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_3_410,L-100um-width-436nm-corr-50nm
127.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_2_411,L-100um-width-436nm-corr-30nm
52.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_1_412,L-100um-width-436nm-corr-0nm
1416.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_18_413,L-100um-width-456nm-corr-80nm
1341.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_17_414,L-100um-width-456nm-corr-50nm
1266.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_16_438,L-100um-width-456nm-corr-30nm
1102.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_15_439,L-100um-width-456nm-corr-0nm
1027.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_14_440,L-100um-width-416nm-corr-180nm
952.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_13_443,L-100um-width-416nm-corr-150nm
877.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_12_444,L-100um-width-416nm-corr-110nm
802.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_11_445,L-100um-width-416nm-corr-80nm
727.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_10_446,L-100um-width-416nm-corr-50nm
652.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_9_451,L-100um-width-416nm-corr-30nm
577.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_8_452,L-100um-width-416nm-corr-0nm
502.45,1286.45,TM,1550,TMBraggTest,TMBraggTest_7_453,L-100um-width-436nm-corr-180nm
2498.05,287.35,TM,1550,TMBraggTest,TMBraggTest_90_454,L-900um-width-436nm-corr-150nm
2423.05,287.35,TM,1550,TMBraggTest,TMBraggTest_89_455,L-900um-width-436nm-corr-110nm
2348.05,287.35,TM,1550,TMBraggTest,TMBraggTest_88_456,L-900um-width-436nm-corr-80nm
2273.05,287.35,TM,1550,TMBraggTest,TMBraggTest_87_457,L-900um-width-436nm-corr-50nm
2198.05,287.35,TM,1550,TMBraggTest,TMBraggTest_86_458,L-900um-width-436nm-corr-30nm
1601.25,728.4,TM,1550,TMBraggTest,TMBraggTest_93_459,L-900um-width-416nm-corr-30nm
3104.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_38_460,L-200um-width-456nm-corr-50nm
3029.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_37_461,L-200um-width-456nm-corr-30nm
2954.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_36_462,L-200um-width-456nm-corr-0nm
2501.25,728.4,TM,1550,TMBraggTest,TMBraggTest_105_463,L-900um-width-456nm-corr-180nm
2426.25,728.4,TM,1550,TMBraggTest,TMBraggTest_104_464,L-900um-width-456nm-corr-150nm
2351.25,728.4,TM,1550,TMBraggTest,TMBraggTest_103_465,L-900um-width-456nm-corr-110nm
2276.25,728.4,TM,1550,TMBraggTest,TMBraggTest_102_466,L-900um-width-456nm-corr-80nm
